Medicamento 	Dosis 	Presentación 	Marca 	Farmacía 	Precio 	Dirección 	Comuna 	Región
1 	NEURUM 	150 mg 	30 CÁPSULAS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	31490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
2 	GLIBENCLAMIDA 	5 mg 	60 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	1090 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
3 	EUROGESIC ADULTO 	275 mg 	10 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	3390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
4 	EUROGESIC ADULTO 	550 mg 	10 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	3690 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
5 	EUROMICINA 	500 mg 	20 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	26490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
6 	CIBLEX 	30 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	35990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
7 	TENSIOMAX 	10 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	5590 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
8 	LIVERTOX 	20 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	2290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
9 	LOSAPRES 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	22890 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
10 	HIPOLIXAN 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	12990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
11 	ACICLOVIR 	200 mg 	24 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	2790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
12 	ALPRAZOLAM 	 0,5 mg 	30 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	1190 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
13 	KETOPROFENO 	50 mg 	20 CÁPSULAS 	MINTLAB Co. S.A. 	Cruz Verde 	1590 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
14 	CIPROFLOXACINO 	500 mg 	6 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	1090 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
15 	SOMNO 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	30790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
16 	SOMNO 	 5 mg 	20 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	15490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
17 	SOMNO 	 5 mg 	30 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	15490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
18 	TREX 	500 mg 	3 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	13650 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
19 	TREX 	500 mg 	6 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	19990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
20 	ENALAPRIL MALEATO 	5 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	1490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
21 	ALFIN 	50 mg 	1 COMPRIMIDOS RECUBIERTOS 	INSTITUTO SANITAS S.A. 	Cruz Verde 	1990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
22 	ALFIN 	50 mg 	5 COMPRIMIDOS RECUBIERTOS 	INSTITUTO SANITAS S.A. 	Cruz Verde 	8990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
23 	ALFIN 	100 mg 	1 COMPRIMIDOS RECUBIERTOS 	INSTITUTO SANITAS S.A. 	Cruz Verde 	4180 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
24 	ALFIN 	100 mg 	5 COMPRIMIDOS RECUBIERTOS 	INSTITUTO SANITAS S.A. 	Cruz Verde 	12390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
25 	REMITEX 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	13590 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
26 	FLUOXETINA 	20 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	1190 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
27 	CRISMOL 	 2 mg 	30 COMPRIMIDOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	7490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
28 	LEODRIN 	70 mg 	12 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	18990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
29 	D-HISTAPLUS 	5 mg 	30 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	6990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
